1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,t1,t2,control_number1,control_number2,Final_preds,control_number
2,4,2,2,2,2,3,2,3,2,4,6,1,4,1,3,1,1,5,1,3,3,1,6,6,2,3,2,5,2,2,2,4,3,4,2,2,3,5,2,4,4,1,3,3,4,4,5,4,3,5,2,4,5,3,64.39999999999999,86.0,0,1,1,0.0
3,6,5,2,2,4,2,6,5,2,4,5,1,6,2,2,4,2,1,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,1,2,6,2,3,2,5,2,1,3,4,3,2,2,2,3,3,5,3,3,2,65.6,89.0,5,5,10,0.0
3,6,5,2,2,2,2,6,5,2,4,5,1,6,2,2,4,2,1,4,2,4,4,6,2,6,2,3,6,3,4,2,1,4,4,2,6,2,3,2,5,2,1,3,4,3,2,2,2,3,3,5,3,3,2,67.0,91.0,6,6,12,0.0
3,6,5,2,2,4,2,6,5,2,4,5,1,6,2,2,4,2,1,4,2,4,4,6,2,6,2,2,6,3,4,2,1,4,4,2,6,2,3,2,5,2,1,2,4,3,2,2,2,3,3,5,3,3,2,69.19999999999999,93.0,0,1,1,0.0
2,2,2,2,2,2,2,2,3,2,4,2,1,6,4,2,5,2,5,1,2,3,4,6,6,2,2,2,5,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,81.6,115.0,0,0,0,0.0
2,2,2,2,2,2,2,2,3,2,4,2,1,6,4,2,2,2,5,1,2,3,4,6,6,2,2,2,2,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,84.4,117.0,0,0,0,0.0
2,6,2,2,2,4,2,6,5,2,4,5,1,6,2,2,5,2,2,4,2,4,4,6,2,2,2,3,6,3,4,2,1,4,1,2,2,2,1,2,5,2,2,3,4,3,2,2,2,3,3,5,3,3,2,73.2,101.0,0,0,0,0.0
2,2,2,2,2,2,3,2,3,2,4,6,1,4,4,2,1,5,5,1,2,3,4,6,6,2,2,2,5,2,2,2,4,2,4,2,2,3,5,2,4,4,2,2,6,4,2,5,2,3,5,2,4,5,3,76.19999999999997,105.0,1,1,2,0.0
2,2,2,2,2,2,2,2,3,2,4,2,1,6,4,2,2,2,2,1,2,3,4,6,6,2,2,2,5,2,2,2,1,2,4,2,2,2,2,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,85.8,118.0,0,2,2,0.0
2,6,5,2,2,4,2,2,2,2,4,5,2,6,2,2,5,2,2,1,2,4,4,6,2,2,2,3,6,2,4,2,1,4,1,2,2,2,1,2,5,2,2,2,4,3,2,2,2,3,3,5,3,3,2,78.0,109.0,1,0,1,0.0
2,2,2,2,2,2,2,2,3,2,4,6,1,6,4,2,5,2,5,1,2,3,4,6,6,2,2,2,5,2,2,2,1,2,4,2,2,2,5,2,4,4,2,2,2,4,2,5,2,3,5,2,4,5,3,80.2,113.0,0,0,0,0.0
